tahun,bulan,puskesmas,desa,sasaran,sangat pendek,pendek,normal,tinggi,jumlah balita diukur,stunting,stunting (%)
2024,februari,PASEAN,TLONTORAJA,455,0,7,545,0,552,7,1.268115942
2024,februari,PASEAN,TAGANGSER DAJA,203,1,4,286,1,292,5,1.712328767
2024,februari,PASEAN,SOTABAR,260,0,4,301,0,305,4,1.31147541
2024,februari,BANDARAN,DABUAN,143,0,8,123,0,131,8,6.106870229
2024,februari,BANDARAN,TERRAK,280,0,3,198,9,210,3,1.428571429
2024,februari,BANDARAN,MANGGAR,139,0,5,110,0,115,5,4.347826087
2024,februari,BANDARAN,BANDARAN,328,1,7,321,3,332,8,2.409638554
2024,februari,BANDARAN,KRAMAT,421,0,8,313,17,338,8,2.366863905
2024,februari,BANDARAN,LARANGAN SLAMPAR,368,0,3,224,5,232,3,1.293103448
2024,februari,BANDARAN,TARO'AN,156,0,2,165,2,169,2,1.183431953
2024,februari,LARANGAN BADUNG,ANGSANAH,319,0,1,289,5,295,1,0.338983051
2024,februari,LARANGAN BADUNG,AKKOR,255,2,1,218,3,224,3,1.339285714
2024,februari,LARANGAN BADUNG,LARANGAN BADUNG,560,0,0,491,15,506,0,0
2024,februari,LARANGAN BADUNG,PANAAN,220,0,0,178,17,195,0,0
2024,februari,LARANGAN BADUNG,POTOAN LAOK,233,0,0,200,4,204,0,0
2024,februari,LARANGAN BADUNG,POTOAN DAJA,260,0,0,234,20,254,0,0
2024,februari,LARANGAN BADUNG,KACOK,279,0,0,117,128,245,0,0
2024,maret,TLANAKAN,AMBAT,575,4,13,282,3,302,17,5.629139073
2024,maret,TLANAKAN,TLANAKAN,307,2,6,100,20,128,8,6.25
2024,maret,TLANAKAN,BRANTA PASISIR,690,3,15,318,1,337,18,5.341246291
2024,maret,TLANAKAN,BRANTA TINGGI,221,0,5,159,0,164,5,3.048780488
2024,maret,TLANAKAN,TLESA,110,1,1,50,0,52,2,3.846153846
2024,maret,TLANAKAN,LARANGAN TOKOL,648,6,12,443,10,471,18,3.821656051
2024,maret,TLANAKAN,CEGUK,535,1,10,135,5,151,11,7.284768212
2024,maret,TLANAKAN,PANGLEGUR,766,5,16,245,40,306,21,6.862745098
2024,maret,TLANAKAN,GUGUL,622,3,9,275,3,290,12,4.137931034
2024,maret,TLANAKAN,BUKEK,229,10,40,59,1,110,50,45.45454545
2024,maret,PADEMAWU,PADEMAWU BARAT,522,1,3,417,0,421,4,0.950118765
2024,maret,PADEMAWU,BUNDER,206,0,3,158,1,162,3,1.851851852
2024,maret,PADEMAWU,DASOK,384,2,2,359,0,363,4,1.101928375
2024,maret,PADEMAWU,MURTAJIH,421,4,6,406,2,418,10,2.392344498
2024,maret,PADEMAWU,LEMPER,210,2,4,163,0,169,6,3.550295858
2024,maret,PADEMAWU,BARURAMBAT TIMUR,251,0,1,255,0,256,1,0.390625
2024,maret,PADEMAWU,LAWANGAN DAYA,490,3,8,474,11,496,11,2.217741935
2024,maret,PADEMAWU,BUDDAGAN,386,4,10,335,3,352,14,3.977272727
2024,maret,PADEMAWU,TAMBUNG,197,4,0,182,2,188,4,2.127659574
2024,maret,PADEMAWU,SENTOL,407,1,1,246,5,253,2,0.790513834
2024,maret,SOPAAH,BADDURIH,137,0,0,132,1,133,0,0
2024,maret,SOPAAH,PAGAGAN,187,0,3,163,0,166,3,1.807228916
